date,price,EMA_10,MACD,Log_Return
2019-10-01,569.32,573.4144018542999,-1.212181922760692,-0.002210721138986154
2019-10-02,568.53,572.5263287898816,-1.5382121524226022,-0.0013885839555963578
2019-10-03,565.9,571.3215417371758,-1.9859200286258556,-0.004636698098350247
2019-10-04,563.02,569.8121705122347,-2.543800330168324,-0.005102232661063738
2019-10-07,563.12,568.595412237283,-2.9439196509759995,0.00017759781246176552
2019-10-08,561.05,567.2235191032314,-3.388982712566417,-0.0036827211890010357
2019-10-09,559.26,565.7756065390074,-3.8418499806207365,-0.003195546809754444
2019-10-10,557.44,564.2600417137332,-4.298063937294501,-0.0032596070770373586
2019-10-11,562.11,563.869125038509,-4.233980126286156,0.008342686054447481
2019-10-14,561.77,563.4874659405982,-4.162644033601168,-0.0006050468206078384
2019-10-15,561.47,563.1206539513985,-4.083248017581809,-0.0005341690237765456
2019-10-16,560.07,562.5659895965987,-4.086191332466001,-0.0024965685168005405
2019-10-17,563.67,562.7667187608535,-3.7547515782304117,0.006407197956194843
2019-10-18,564.83,563.1418608043347,-3.3597517527953187,0.0020558270421878167
2019-10-21,565.19,563.5142497490011,-2.983273237109188,0.0006371568860356943
2019-10-22,564.22,563.6425679764554,-2.7316929386415723,-0.0017177114396036738
2019-10-23,559.56,562.9002828898272,-2.8751933550712465,-0.008293485753930949
2019-10-24,561.0,562.5547769098586,-2.839984925150702,0.0025701449144665614
2019-10-25,561.41,562.3466356535206,-2.747328919655729,0.0007305708577719456
2019-10-28,560.16,561.9490655346987,-2.743141691194978,-0.002229019174112703
2019-10-29,556.28,560.9183263465716,-3.018115894638072,-0.006950692595945389
2019-10-30,555.86,559.9986306471949,-3.232661314490656,-0.0007553006275589381
2019-10-31,556.84,559.4243341658866,-3.2857363720447665,0.0017614815375154782
2019-11-01,554.64,558.5544552266344,-3.4653736807034647,-0.0039586908861316055
2019-11-04,554.9,557.8900088217918,-3.5458829831488856,0.00046866269762065304
2019-11-05,553.06,557.0118253996477,-3.715331775855134,-0.003321422599281112
2019-11-06,557.83,557.1605844178936,-3.425238017709262,0.008587761732395744
2019-11-07,558.87,557.4713872510038,-3.0759595688177797,0.0018626315047568249
2019-11-08,560.59,558.0384077508213,-2.630046714913192,0.0030729125711801354
2019-11-11,557.77,557.9896063415811,-2.475670014960542,-0.005043109511680687
2019-11-12,558.24,558.0351324612936,-2.2890139678186188,0.000842286409237613
2019-11-13,558.73,558.1614720137857,-2.0775995266923246,0.0008773736652423811
2019-11-14,558.8,558.2775680112792,-1.8827010383262177,0.00012527627910039924
2019-11-15,553.88,557.4780101910466,-2.101026142446017,-0.008843570596293527
2019-11-18,555.77,557.1674628835835,-2.0973660258167683,0.0034064828146701726
2019-11-19,554.4,556.664287813841,-2.179884555229137,-0.0024680917254898465
2019-11-20,550.98,555.6307809385971,-2.492514348298755,-0.006187937022207522
2019-11-21,550.0,554.607002586125,-2.7872241366206936,-0.0017802326269693023
2019-11-22,551.22,553.9911839341022,-2.8890369435780485,0.002215725284913557
2019-11-25,548.62,553.0146050369926,-3.1432887217516736,-0.004727969237886193
2019-11-26,545.79,551.7010404848121,-3.5324228645173434,-0.0051717478967220525
2019-11-27,543.98,550.297214942119,-3.9414319750657114,-0.003321804902599843
2019-11-28,543.36,549.035903134461,-4.266422794155687,-0.0011403977912941214
2019-11-29,546.57,548.5875571100136,-4.21635665191377,0.005890303562775706
2019-12-02,547.82,548.4480012718292,-4.029366293725161,0.0022843785918762985
2019-12-03,544.24,547.6829101314966,-4.122529217723013,-0.006556439800774419
2019-12-04,543.56,546.933290107588,-4.202784736892568,-0.0012502299845087853
2019-12-05,544.03,546.4054191789356,-4.180275132402812,0.0008642963419263262
2019-12-06,546.61,546.4426156918564,-3.9091889735300356,0.0047311758464086825
2019-12-09,547.84,546.6966855660643,-3.5541307126067068,0.002247705272690913
2019-12-10,546.07,546.5827427358707,-3.3766448305430004,-0.003236100857787502
2019-12-11,542.96,545.9240622384397,-3.4471998251592595,-0.005711520260032145
2019-12-12,543.5,545.4833236496324,-3.420116703275653,0.0009940541657610603
2019-12-13,543.92,545.1990829860629,-3.3264177707084173,0.0007724706569399245
2019-12-16,545.85,545.3174315340514,-3.0611389173213865,0.003542035508074479
2019-12-17,541.34,544.5942621642239,-3.1781866656099282,-0.008296665477661296
2019-12-18,548.04,545.2207599525468,-2.6991991559715416,0.012300729736290645
2019-12-19,555.23,547.0406217793565,-1.7196026836796818,0.013034165330004094
2019-12-20,548.24,547.2586905467462,-1.4901227958876007,-0.012669295037343658
2019-12-23,562.96,550.1134740837014,-0.11910439039957055,0.026495430380725177
2019-12-27,561.73,552.2255697048465,0.858292985870662,-0.002187270252915024
2019-12-30,568.14,555.1191024857835,2.12561807570205,0.011346559818085094
2020-01-02,568.25,557.5065383974593,3.1030879543369565,0.0001935955091887955
2020-01-03,568.6,559.5235314161031,3.8614693355542613,0.0006157364842468867
2020-01-06,570.65,561.5465257040843,4.575170197356101,0.003598862782709517
2020-01-07,566.17,562.3871573942507,4.724819930137073,-0.007881675536575355
2020-01-08,575.75,564.8167651407505,5.552439294223177,0.01677915223776085
2020-01-09,577.72,567.1628078424321,6.294734359598692,0.003415783532171548
2020-01-10,579.24,569.3586609619899,6.925823264270662,0.0026275772274358664
2020-01-13,578.16,570.9589044234463,7.255185531301095,-0.0018662524856762606
2020-01-14,580.1,572.6209218010015,7.585310549273231,0.003349855497293027
2020-01-15,581.34,574.2062087462739,7.856430599829423,0.0021352811529490386
2020-01-16,581.81,575.5887162469513,8.016807498700132,0.0008081503255469281
2020-01-17,580.1,576.4089496565965,7.914689029169267,-0.0029434314784960148
2020-01-20,585.73,578.1036860826698,8.193602603990712,0.009658430073461543
2020-01-21,585.28,579.4084704312753,8.282852810998975,-0.0007685673429793365
2020-01-22,584.9,580.4069303528615,8.228073311521257,-0.0006494727535207324
2020-01-23,583.41,580.9529430159776,7.972527284163789,-0.002550694264079569
2020-01-24,582.81,581.2905897403452,7.633594900517096,-0.001028965466101655
2020-01-27,579.49,580.9632097875551,7.0162137463720455,-0.005712826343275946
2020-01-28,578.05,580.4335352807269,6.3376819162429,-0.0024880362541923415
2020-01-29,576.51,579.7201652296857,5.610995360828269,-0.0026676845088851727
2020-01-30,574.27,578.7292260970155,4.7990216167191875,-0.0038930166131503096
2020-01-31,575.87,578.209366806649,4.235805473992855,0.002782271779327813
2020-02-03,573.96,577.4367546599855,3.5939033054867195,-0.0033222332984170233
2020-02-04,575.15,577.0209810854426,3.144961113004797,0.0020711688618133776
2020-02-05,570.36,575.8098936153621,2.375277502222616,-0.008363135928100902
2020-02-06,570.05,574.7626402307508,1.7204509980232388,-0.0005436641341897326
2020-02-07,569.62,573.8276147342506,1.1535020161232978,-0.0007546044388365724
2020-02-10,570.42,573.2080484189322,0.7599835600349252,0.001403459758101836
2020-02-11,570.67,572.7465850700354,0.4629536179710385,0.00043817753901974257
2020-02-12,568.67,572.0053877845744,0.06541786714637965,-0.003510808106965752
2020-02-13,563.46,570.4516809146518,-0.6623998050625914,-0.009203954986470631
2020-02-14,558.7,568.3150116574424,-1.604793710012018,-0.008483689579474055
2020-02-17,560.47,566.8886459015437,-2.18365168443097,0.0031630609750627897
2020-02-18,550.97,563.9943466467175,-3.3701227278140777,-0.017095356230493904
2020-02-19,548.91,561.2517381654961,-4.425618585418306,-0.0037458675650878697
2020-02-20,548.03,558.8477857717695,-5.272339059775845,-0.0016044636694482056
2020-02-21,552.24,557.6463701769023,-5.53979995495888,0.007652704420083962
2020-02-24,550.44,556.3361210538292,-5.8298072095328735,-0.0032647759981390663
2020-02-25,545.01,554.2768263167693,-6.423746714289905,-0.0099138152783177
2020-02-26,546.39,552.8428578955385,-6.705793372270023,0.002528863359798732
2020-02-27,548.71,552.0914291872588,-6.665279575846739,0.004237062315503174
2020-02-28,550.25,551.7566238804844,-6.434731392599474,0.002802651612505885
2020-03-02,546.75,550.8463286294872,-6.4599744810228685,-0.006381060849693779
2020-03-04,543.21,549.4579052423077,-6.688527049092272,-0.0064956740562162945
2020-03-05,536.4,547.0837406527971,-7.334617784199736,-0.01261583409313755
2020-03-06,529.93,543.9648787159249,-8.27335419735573,-0.012135229055787278
2020-03-09,475.63,531.5403553130294,-13.246172137038002,-0.1081046813074674
2020-03-10,494.81,524.8621088924785,-15.461272549757268,0.03953360945577468
2020-03-11,495.12,519.4544527302097,-16.995823898186927,0.0006263069310625451
2020-03-12,457.61,508.21000677926247,-20.9966738276039,-0.07878286445744125
2020-03-13,447.95,497.25364191030565,-24.662562817003618,-0.021335673930077355
2020-03-16,423.96,483.92752519934095,-29.1673754119235,-0.055042507884533264
2020-03-17,422.4,472.7407024358244,-32.488839690998304,-0.0036863787670024907
2020-03-18,416.39,462.49512017476536,-35.20031353140166,-0.014330411309448142
