"mic","symbol","isin","date","open_value","high_value","low_value","last_value","change_prev_close_percentage","turnover"
"XZAG","CBX10","HRZB00ICBE11","2022-05-13",1235.62,1241.63,1233.34,1241.18,0.52,520784.19
"XZAG","CBX10","HRZB00ICBE11","2022-05-12",1250.55,1250.55,1234.09,1234.73,-1.34,1109413.84
"XZAG","CBX10","HRZB00ICBE11","2022-05-11",1250.77,1254.98,1250.40,1251.46,0.16,359537.16
"XZAG","CBX10","HRZB00ICBE11","2022-05-10",1255.00,1255.74,1248.28,1249.46,-0.37,779840.24
"XZAG","CBX10","HRZB00ICBE11","2022-05-09",1257.20,1257.61,1249.01,1254.08,-0.31,837800.17
"XZAG","CBX10","HRZB00ICBE11","2022-05-06",1268.00,1268.92,1255.21,1257.94,-0.87,976391.56
"XZAG","CBX10","HRZB00ICBE11","2022-05-05",1260.83,1270.26,1260.38,1268.92,0.69,611668.18
"XZAG","CBX10","HRZB00ICBE11","2022-05-04",1262.17,1263.35,1259.20,1260.17,-0.83,1233435.22
"XZAG","CBX10","HRZB00ICBE11","2022-05-03",1276.59,1277.79,1269.96,1270.70,-0.46,729689.63
"XZAG","CBX10","HRZB00ICBE11","2022-05-02",1279.08,1279.08,1272.37,1276.59,-0.14,322303.22
"XZAG","CBX10","HRZB00ICBE11","2022-04-29",1279.12,1282.13,1276.85,1278.42,-0.04,867638.83
"XZAG","CBX10","HRZB00ICBE11","2022-04-28",1273.34,1281.20,1273.34,1278.98,0.45,583988.15
"XZAG","CBX10","HRZB00ICBE11","2022-04-27",1277.45,1278.77,1270.58,1273.20,-0.38,532563.94
"XZAG","CBX10","HRZB00ICBE11","2022-04-26",1276.17,1281.78,1272.25,1278.11,0.15,653246.49
"XZAG","CBX10","HRZB00ICBE11","2022-04-25",1285.91,1285.91,1274.82,1276.17,-0.71,306491.55
"XZAG","CBX10","HRZB00ICBE11","2022-04-22",1285.73,1286.18,1279.33,1285.24,-0.10,593732.76
"XZAG","CBX10","HRZB00ICBE11","2022-04-21",1285.03,1287.94,1279.47,1286.47,-0.10,769808.47
"XZAG","CBX10","HRZB00ICBE11","2022-04-20",1273.47,1289.83,1272.12,1287.79,1.23,1230359.19
"XZAG","CBX10","HRZB00ICBE11","2022-04-19",1274.10,1279.33,1272.01,1272.15,-0.14,541749.87
"XZAG","CBX10","HRZB00ICBE11","2022-04-14",1275.59,1277.76,1269.86,1273.89,-0.23,478352.59
"XZAG","CBX10","HRZB00ICBE11","2022-04-13",1276.58,1279.17,1275.57,1276.78,0.02,488471.70
"XZAG","CBX10","HRZB00ICBE11","2022-04-12",1283.44,1284.18,1274.57,1276.58,-0.48,380368.61
"XZAG","CBX10","HRZB00ICBE11","2022-04-11",1278.29,1284.78,1277.35,1282.78,0.35,1379182.36
"XZAG","CBX10","HRZB00ICBE11","2022-04-08",1270.09,1278.98,1270.09,1278.29,0.65,478258.73
"XZAG","CBX10","HRZB00ICBE11","2022-04-07",1273.95,1274.01,1267.13,1270.09,-0.30,445384.37
"XZAG","CBX10","HRZB00ICBE11","2022-04-06",1276.34,1276.47,1271.71,1273.95,-0.19,729283.47
"XZAG","CBX10","HRZB00ICBE11","2022-04-05",1273.23,1277.97,1272.46,1276.34,0.36,467524.22
"XZAG","CBX10","HRZB00ICBE11","2022-04-04",1262.05,1272.71,1259.03,1271.75,0.77,741041.61
"XZAG","CBX10","HRZB00ICBE11","2022-04-01",1259.39,1264.27,1257.04,1262.05,0.18,314159.69
"XZAG","CBX10","HRZB00ICBE11","2022-03-31",1262.03,1264.68,1255.89,1259.81,-0.18,936908.45
"XZAG","CBX10","HRZB00ICBE11","2022-03-30",1267.51,1268.60,1255.07,1262.03,-0.48,394820.39
"XZAG","CBX10","HRZB00ICBE11","2022-03-29",1240.66,1268.14,1240.29,1268.14,2.16,974180.09
"XZAG","CBX10","HRZB00ICBE11","2022-03-28",1234.85,1242.35,1232.96,1241.32,0.53,868888.84
"XZAG","CBX10","HRZB00ICBE11","2022-03-25",1235.30,1241.79,1232.78,1234.78,-0.04,277951.82
"XZAG","CBX10","HRZB00ICBE11","2022-03-24",1237.94,1238.55,1230.63,1235.30,-0.22,352076.09
"XZAG","CBX10","HRZB00ICBE11","2022-03-23",1240.93,1244.13,1235.63,1238.05,-0.27,657778.55
"XZAG","CBX10","HRZB00ICBE11","2022-03-22",1243.10,1243.10,1236.25,1241.36,-0.14,646682.20
"XZAG","CBX10","HRZB00ICBE11","2022-03-21",1237.69,1246.94,1237.69,1243.10,0.49,396592.04
"XZAG","CBX10","HRZB00ICBE11","2022-03-18",1229.83,1251.75,1229.19,1237.06,0.59,871443.52
"XZAG","CBX10","HRZB00ICBE11","2022-03-17",1225.58,1230.65,1223.32,1229.83,0.38,545239.18
"XZAG","CBX10","HRZB00ICBE11","2022-03-16",1200.81,1226.19,1200.36,1225.15,2.03,1146005.64
"XZAG","CBX10","HRZB00ICBE11","2022-03-15",1195.05,1202.03,1191.60,1200.81,0.47,710004.29
"XZAG","CBX10","HRZB00ICBE11","2022-03-14",1184.47,1198.31,1184.26,1195.25,0.88,507428.18
"XZAG","CBX10","HRZB00ICBE11","2022-03-11",1182.42,1188.06,1180.17,1184.81,0.31,367838.66
"XZAG","CBX10","HRZB00ICBE11","2022-03-10",1179.56,1184.55,1178.70,1181.15,0.13,568677.97
"XZAG","CBX10","HRZB00ICBE11","2022-03-09",1153.22,1183.61,1153.22,1179.56,2.32,1338232.54
"XZAG","CBX10","HRZB00ICBE11","2022-03-08",1152.99,1157.78,1151.21,1152.77,0.04,931456.94
"XZAG","CBX10","HRZB00ICBE11","2022-03-07",1175.53,1175.53,1139.50,1152.36,-2.03,2022780.14
"XZAG","CBX10","HRZB00ICBE11","2022-03-04",1198.38,1198.38,1176.06,1176.28,-1.86,1049549.02
"XZAG","CBX10","HRZB00ICBE11","2022-03-03",1189.83,1198.77,1187.50,1198.56,0.52,783244.63
"XZAG","CBX10","HRZB00ICBE11","2022-03-02",1200.10,1200.10,1190.08,1192.40,-0.66,1136115.20
"XZAG","CBX10","HRZB00ICBE11","2022-03-01",1210.33,1213.52,1200.28,1200.28,-0.58,1054169.51
"XZAG","CBX10","HRZB00ICBE11","2022-02-28",1231.27,1231.27,1192.68,1207.34,-1.98,2141457.27
"XZAG","CBX10","HRZB00ICBE11","2022-02-25",1203.66,1231.89,1203.66,1231.75,2.52,1711660.40
"XZAG","CBX10","HRZB00ICBE11","2022-02-24",1283.93,1283.93,1195.72,1201.42,-6.47,2940241.21
"XZAG","CBX10","HRZB00ICBE11","2022-02-23",1276.27,1284.59,1276.27,1284.57,0.68,537172.26
"XZAG","CBX10","HRZB00ICBE11","2022-02-22",1292.80,1292.80,1267.40,1275.93,-1.37,749114.17
"XZAG","CBX10","HRZB00ICBE11","2022-02-21",1289.01,1300.57,1289.01,1293.70,0.34,398955.96
"XZAG","CBX10","HRZB00ICBE11","2022-02-18",1301.92,1304.70,1288.38,1289.28,-0.99,453454.43
"XZAG","CBX10","HRZB00ICBE11","2022-02-17",1309.79,1310.00,1302.19,1302.19,-0.58,777241.57
"XZAG","CBX10","HRZB00ICBE11","2022-02-16",1299.01,1310.60,1299.01,1309.79,0.90,279711.02
"XZAG","CBX10","HRZB00ICBE11","2022-02-15",1294.03,1301.90,1290.87,1298.08,0.31,415780.90
"XZAG","CBX10","HRZB00ICBE11","2022-02-14",1317.85,1317.86,1286.50,1294.03,-1.89,1058040.73
"XZAG","CBX10","HRZB00ICBE11","2022-02-11",1320.20,1321.80,1317.06,1318.95,-0.05,592387.36
"XZAG","CBX10","HRZB00ICBE11","2022-02-10",1315.86,1323.60,1315.23,1319.57,0.34,645940.67
"XZAG","CBX10","HRZB00ICBE11","2022-02-09",1305.30,1315.12,1304.55,1315.12,0.77,532176.39
"XZAG","CBX10","HRZB00ICBE11","2022-02-08",1301.09,1306.07,1301.09,1305.03,0.30,513961.78
"XZAG","CBX10","HRZB00ICBE11","2022-02-07",1302.28,1307.04,1300.79,1301.09,-0.08,212725.06
"XZAG","CBX10","HRZB00ICBE11","2022-02-04",1299.59,1304.94,1298.66,1302.07,0.16,284032.97
"XZAG","CBX10","HRZB00ICBE11","2022-02-03",1308.54,1309.01,1300.02,1300.02,-0.51,116912.59
"XZAG","CBX10","HRZB00ICBE11","2022-02-02",1306.33,1310.72,1306.00,1306.69,0.03,232705.36
"XZAG","CBX10","HRZB00ICBE11","2022-02-01",1301.52,1311.28,1297.74,1306.33,0.37,687733.32
"XZAG","CBX10","HRZB00ICBE11","2022-01-31",1296.45,1303.33,1293.87,1301.52,0.40,286904.71
"XZAG","CBX10","HRZB00ICBE11","2022-01-28",1293.32,1296.38,1292.87,1296.38,0.27,368167.03
"XZAG","CBX10","HRZB00ICBE11","2022-01-27",1306.59,1306.59,1292.84,1292.84,-1.08,550995.86
"XZAG","CBX10","HRZB00ICBE11","2022-01-26",1293.82,1308.99,1293.82,1306.91,1.01,754326.37
"XZAG","CBX10","HRZB00ICBE11","2022-01-25",1288.67,1298.21,1282.52,1293.82,0.42,874080.84
"XZAG","CBX10","HRZB00ICBE11","2022-01-24",1323.28,1323.79,1288.39,1288.39,-2.64,1695439.80
"XZAG","CBX10","HRZB00ICBE11","2022-01-21",1340.51,1340.95,1317.32,1323.28,-1.30,1421364.91
"XZAG","CBX10","HRZB00ICBE11","2022-01-20",1342.13,1345.46,1337.56,1340.73,-0.16,1314219.46
"XZAG","CBX10","HRZB00ICBE11","2022-01-19",1337.99,1347.46,1336.84,1342.93,0.31,952060.42
"XZAG","CBX10","HRZB00ICBE11","2022-01-18",1332.37,1342.00,1332.37,1338.78,0.52,740045.55
