date,price,MACD,EMA_10,Log_Return
2020-07-29,877.44,11.541081935990633,851.0288488014488,0.02542769077219699
2020-07-30,871.44,12.970121977012923,855.8308762920944,-0.0068615611597048504
2020-07-31,865.38,13.463300106280826,858.6688987844409,-0.006978298950716297
2020-08-03,876.19,13.212846502644197,859.8890990054516,0.012414245571771712
2020-08-04,881.14,13.728384602329015,862.8528991862786,0.005633561245196479
2020-08-05,900.61,14.370719186386054,866.1778266069553,0.021855787874022172
2020-08-06,896.0,16.26336629142918,872.438221769327,-0.005131898539533751
2020-08-07,911.67,17.193122669552054,876.7221814476311,0.017337669513486868
2020-08-10,920.49,18.975659744496852,883.0763302753345,0.009628054464651354
2020-08-11,919.79,20.85957728475853,889.8788156798191,-0.0007607538350254115
2020-08-12,924.17,22.04202461932516,895.3172128289428,0.004750654284885046
2020-08-13,917.57,23.066654016842335,900.5631741327713,-0.007167166106534314
2020-08-14,917.9,23.080062758294844,903.6553242904492,0.00035958092865103934
2020-08-17,919.09,22.853872310620318,906.2452653285493,0.001295597870928727
2020-08-18,907.13,22.511143358047775,908.5806716324494,-0.013098280593337503
2020-08-19,908.43,21.03201220309154,908.3169131538223,0.0014320652825255652
2020-08-20,900.74,19.737171415555053,908.3374743985818,-0.008501187078146996
2020-08-21,894.74,17.884322691239504,906.9561154170214,-0.006683474429566054
2020-08-24,909.73,15.750218161462385,904.7350035230174,0.01661467891161188
2020-08-25,910.35,15.094492753101918,905.6431847006505,0.0006812887609130361
2020-08-26,902.38,14.45818945306894,906.4989693005322,-0.008793423572352407
2020-08-27,905.46,13.159112058991013,905.7500657913445,0.0034073844808927612
2020-08-28,912.02,12.237052994582655,905.6973265565545,0.007218817799923583
2020-08-31,898.79,11.898493294609239,906.8469035462717,-0.014612505354862764
2020-09-01,909.34,10.442259987853959,905.382011992404,0.011669647343092823
2020-09-02,920.2,10.023931784694128,906.1016461756033,0.01187197607470056
2020-09-03,896.17,10.448273713446952,908.6649832345845,-0.026460910600447356
2020-09-04,891.81,8.744743615307925,906.3931681010235,-0.004877021713893608
2020-09-08,870.5,6.962607571292551,903.7416829917464,-0.024185346198783517
2020-09-09,879.29,3.7870581627755655,897.6977406296106,0.010047004429227395
2020-09-10,867.53,1.957131325187902,894.350878696954,-0.013464670281840192
2020-09-11,861.93,-0.4369951865994608,889.4743552975078,-0.006476032485883641
2020-09-14,877.1,-2.754478975759298,884.466290697961,0.017446950087588682
2020-09-15,876.74,-3.3286388792233765,883.1269651165135,-0.0004105277620034263
2020-09-16,882.78,-3.7692640015474126,881.9656987316928,0.006865535742578008
2020-09-17,875.86,-3.589705177139649,882.1137535077486,-0.007869758125271045
2020-09-18,870.57,-3.960139657422701,880.9767074154306,-0.006058091281964427
2020-09-21,840.53,-4.627230607417459,879.0845787944431,-0.03511552427912902
2020-09-22,846.18,-7.493501515733442,872.0746553772715,0.0066994576806576975
2020-09-23,822.63,-9.203047081898376,867.3665362177676,-0.028225578070760517
2020-09-24,826.8,-12.316189082946266,859.2326205418099,0.005056302946169891
2020-09-25,834.93,-14.282255447494322,853.335780443299,0.009785061193786249
2020-09-28,858.07,-15.011313078436729,849.9892749081537,0.027337792240266105
2020-09-29,853.35,-13.565517056201315,851.4584976521256,-0.005515901376899499
2020-09-30,855.27,-12.654702314493193,851.8024071699209,0.002247428694677164
2020-10-01,867.47,-11.643725496180764,852.4328785935716,0.014163720531030537
2020-10-02,876.58,-9.7457382397115,855.1669006674676,0.0104470432107334
2020-10-05,896.44,-7.420924996156373,859.0601914552008,0.02240339156618051
2020-10-06,895.26,-3.930647668628467,865.8565202815279,-0.001317184987002322
2020-10-07,908.49,-1.2454372534015192,871.2026075030682,0.01466970174061089
2020-10-08,922.07,1.92793771298318,877.9821334116011,0.014837261962569235
2020-10-09,926.19,5.475534194190686,885.9981091549463,0.004458254600654517
2020-10-12,932.78,8.521251845345432,893.3057256722287,0.007089977358822752
2020-10-13,922.27,11.336087590889974,900.4828664590962,-0.011331352207605077
2020-10-14,917.35,12.573852490209674,904.4441634665332,-0.005348943510708764
2020-10-15,929.57,13.007840915714155,906.7906791998907,0.013233034807245234
2020-10-16,923.71,14.174437648907656,910.9323738908197,-0.006323944066244486
2020-10-19,913.09,14.45944149800323,913.2555786379434,-0.01156371770639511
2020-10-20,919.25,13.670775664696407,913.2254734310445,0.006723668322047144
2020-10-21,915.07,13.38847877917442,914.3208418981272,-0.004557555099804356
2020-10-22,928.92,12.681283455427433,914.457052462104,0.015022055923045216
2020-10-23,933.72,13.087540299153488,917.0866792871759,0.005153986412216787
2020-10-26,913.96,13.63959292259517,920.1109194167802,-0.021389800596495458
2020-10-27,901.87,12.340379531586905,918.992570431911,-0.01331642131312039
2020-10-28,874.84,10.217401751946909,915.8793758079271,-0.030429373012871606
2020-10-29,888.66,6.281423129699647,908.4176711155767,0.01567369767258458
2020-10-30,876.59,4.228546167771469,904.8253672763808,-0.013675329958908841
2020-11-02,895.39,1.609129218479893,899.6916641352205,0.021219997343486615
2020-11-03,918.9,1.038256916687601,898.9095433833622,0.02591792495532516
2020-11-04,909.54,2.454601900563148,902.5441718591144,-0.01023832530685735
2020-11-05,934.94,2.789634558578996,903.8161406120026,0.02754337890665588
2020-11-06,925.22,5.046544651798399,909.475024137093,-0.01045080903530948
2020-11-09,970.41,5.9818839595709505,912.3377470212579,0.0476871155342697
2020-11-10,996.0,10.251430323671116,922.8963384719382,0.026028594979000206
2020-11-11,989.44,15.521058610944237,936.1879132952221,-0.0066081310656503954
2020-11-12,968.5,18.949501757828443,945.8701108779089,-0.021390643671897296
2020-11-13,994.29,19.74922785002741,949.9846361728346,0.02628043176163948
2020-11-16,1023.52,22.208053388359758,958.0401568686827,0.02897403109313748
2020-11-17,1028.57,26.213138315675792,969.9455828925586,0.004921821357152497
2020-11-18,1015.33,29.455149146869985,980.6045678211842,-0.01295580527146211
2020-11-19,1021.83,30.603332571345618,986.918282762787,0.006381454631208938
2020-11-20,1020.23,31.672669071190057,993.2658677150075,-0.0015670453634246489
2020-11-23,1043.03,32.021890897892376,998.1684372213697,0.02210184671494364
2020-11-24,1069.41,33.74937932738396,1006.3250849993024,0.02497715573863026
2020-11-25,1060.05,36.82260383108951,1017.7950695448837,-0.00879101770390284
2020-11-27,1059.67,38.0641033273705,1025.4777841730865,-0.0003585379239433908
2020-11-30,1034.51,38.57269577229317,1031.6945506870707,-0.024029654236594054
2020-12-01,1046.75,36.52452522888734,1032.2064505621486,0.011762241254817216
2020-12-02,1051.69,35.480009558368465,1034.8507322781215,0.004708268166577574
2020-12-03,1059.03,34.65140030587213,1037.912417318463,0.0069550007462265626
2020-12-04,1085.44,34.19284433533085,1041.751977806015,0.024632039911371972
2020-12-07,1081.04,35.550695420116654,1049.6952545685576,-0.0040618939935983004
2020-12-08,1090.78,35.85840558147174,1055.3942991924562,0.00896949590666153
2020-12-09,1089.84,36.467826299553735,1061.828062975646,-0.0008621401786868997
2020-12-10,1095.22,36.45471915503617,1066.9211424346195,0.00492435985444264
2020-12-11,1086.59,36.458185418960966,1072.0663892646887,-0.00791090425576341
2020-12-14,1083.05,35.35699020785955,1074.707045762018,-0.0032632170694973915
2020-12-15,1111.67,33.808908601351504,1076.2239465325601,0.026082254190881556
2020-12-16,1105.53,34.49381436717749,1082.66868352664,-0.00553853120650805
2020-12-17,1116.74,34.147528977244065,1086.8252865217964,0.01008886866514504
2020-12-18,1108.16,34.38132214493453,1092.2643253360152,-0.007712744422448384
2020-12-21,1104.6,33.488239046744184,1095.1544480021942,-0.003217703746970125
2020-12-22,1109.45,32.12290910888282,1096.8718210927043,0.0043811185453385415
2020-12-23,1121.74,31.07402771473039,1099.1587627122126,0.011016654161631409
2020-12-24,1121.51,30.878533429115805,1103.2644422190829,-0.00020505962403294812
2020-12-28,1124.94,30.3551286933307,1106.5818163610677,0.0030537093328903125
2020-12-29,1107.35,29.87274459898822,1109.9196679317827,-0.01575992731706025
2020-12-30,1118.01,27.751187321666066,1109.4524555805494,0.009580545653016418
2020-12-31,1118.93,26.62311609502717,1111.0083727477222,0.0008225522829152838
2021-01-04,1106.93,25.509292585893945,1112.4486686117727,-0.010782453758173287
2021-01-05,1131.03,23.38866969314381,1111.445274318723,0.021538304219660166
2021-01-06,1185.02,23.3831825869363,1115.0061335335006,0.04663093010066408
2021-01-07,1199.81,27.41930314376009,1127.7359274365003,0.012403558842776186
2021-01-08,1190.26,31.448864227952527,1140.8403042662276,-0.007991440271074604
2021-01-11,1195.22,33.485712778497145,1149.8257034905498,0.004158498203980533
2021-01-12,1215.46,35.095600243698755,1158.0792119468133,0.016792337106868095
2021-01-13,1205.16,37.57154512106513,1168.512082501938,-0.00851026775323877
2021-01-14,1232.7,38.26156979568486,1175.1753402288584,0.022594547364225698
2021-01-15,1211.91,40.56308120975223,1185.6343692781568,-0.01700925811117569
2021-01-19,1224.3,40.2455407938819,1190.4117566821283,0.010171624633571566
2021-01-20,1229.82,40.52649299462291,1196.5732554671958,0.00449856511422201
2021-01-21,1216.23,40.72511374455257,1202.6181181095237,-0.011111906816747766
2021-01-22,1231.7,39.33252186777895,1205.0930057259739,0.012639418570094742
2021-01-25,1232.83,39.027300062696895,1209.930641048524,0.0009170106098814064
2021-01-26,1233.22,38.433553063698355,1214.0941608578833,0.0003162952926756805
2021-01-27,1229.29,37.561488570879646,1217.57158615645,-0.0031918679205983295
2021-01-28,1206.78,36.136691733818225,1219.7022068552772,-0.018481111536212767
2021-01-29,1188.71,32.81291424912524,1217.3527146997722,-0.015086969890464328
2021-02-01,1210.25,28.39339725400555,1212.1449483907227,0.017958264317083413
2021-02-02,1212.08,26.325531833281957,1211.8004123196822,0.0015109422317761587
2021-02-03,1217.59,24.55138619786294,1211.851246443376,0.00453560314432305
2021-02-04,1238.28,23.321142338798154,1212.894656180944,0.016849824719720276
2021-02-05,1252.75,23.741992394074487,1217.5101732389542,0.011617814924210781
2021-02-08,1287.27,24.955456199273158,1223.9174144682352,0.027182561963193946
2021-02-09,1295.39,28.375515235263492,1235.4360663831014,0.006288111292709884
2021-02-10,1290.93,31.3794302607796,1246.3367815861739,-0.0034489192528306843
2021-02-11,1295.81,33.01954111825512,1254.4446394795968,0.0037730933834867614
2021-02-12,1297.9,34.317524939715895,1261.96561411967,0.0016115914673192975
2021-02-16,1293.88,35.11010457260136,1268.4991388251844,-0.0031021176363343686
2021-02-17,1286.82,35.01027260893534,1273.113840856969,-0.005471397382453923
2021-02-18,1267.12,33.969888334165944,1275.6058697920655,-0.015427449920760313
2021-02-19,1288.77,31.196141243287684,1274.0629843753263,0.01694166637026386
2021-02-22,1296.51,30.39453151404382,1276.736987216176,0.005987763898204673
2021-02-23,1288.53,30.03754917330798,1280.3320804495984,-0.006174005314177772
2021-02-24,1323.76,28.778972704944636,1281.822611276944,0.02697413847513328
2021-02-25,1283.73,30.275313389788835,1289.4475910447723,-0.030706269419531803
2021-02-26,1278.56,27.909365910509678,1288.408029036632,-0.004035458137904448
2021-03-01,1317.58,25.325226251125514,1286.6174783026988,0.03006227600853419
2021-03-02,1294.68,26.124715392621056,1292.247027702208,-0.017533160283437793
2021-03-03,1297.47,24.626597593022097,1292.6893863018065,0.0021526540342080747
2021-03-04,1272.27,23.394777691991067,1293.5585887923871,-0.019613507859293777
2021-03-05,1302.12,20.152813066488307,1289.6879362846803,0.023190998893953048
2021-03-08,1327.82,19.76434718535097,1291.9483115056473,0.019544794260918055
2021-03-09,1339.99,21.284901299156672,1298.4704366864387,0.009123651549509327
2021-03-10,1366.99,23.204481857846076,1306.0194481979954,0.01994909117769481
2021-03-11,1385.65,26.597834354165798,1317.1050030710871,0.013558101199214226
2021-03-12,1397.66,30.441881644966998,1329.567729785435,0.008630066029304852
2021-03-15,1396.7,34.06474625576607,1341.9481425517195,-0.0006870983250320599
2021-03-16,1373.56,36.438389512024514,1351.903025724134,-0.016706401711586397
2021-03-17,1381.46,36.03690329385631,1355.840657410655,0.0057350013086870785
2021-03-18,1350.74,35.94187103410809,1360.498719699627,-0.02248832050652173
2021-03-19,1355.09,33.00722329744917,1358.7244070269674,0.003215282369948587
2021-03-22,1335.82,30.67885571690499,1358.063605749337,-0.014322537291558761
2021-03-23,1289.25,26.967811535944065,1354.0193137949123,-0.03548468154962619
2021-03-24,1266.83,20.037987046177705,1342.24307492311,-0.017542936829277166
2021-03-25,1299.99,12.59179421748695,1328.5316067552717,0.025838855010558718
2021-03-26,1331.26,9.259628391960177,1323.3422237088585,0.02376929005426154
2021-03-29,1296.8,9.037907264929345,1324.7818193981568,-0.026226170745145213
2021-03-30,1316.21,6.0122521680825685,1319.694215871219,0.014856703201230115
2021-03-31,1319.35,5.121585044706308,1319.0607220764518,0.00238279643466252
2021-04-01,1340.3,4.615887611351809,1319.1133180625516,0.01575427842709192
2021-04-05,1346.01,5.838308281956415,1322.9654420511786,0.004251191113129379
2021-04-06,1343.93,7.1850104223794915,1327.1553616782369,-0.00154650320420262
2021-04-07,1325.31,7.9923125503760275,1330.2052959185576,-0.013951763073806583
2021-04-08,1332.13,7.048377607349039,1329.3152421151833,0.0051327706160253
2021-04-09,1334.56,6.77254963081964,1329.827016276059,0.0018224845577052885
2021-04-12,1335.39,6.673111191877069,1330.6875587713212,0.0006217345094379357
2021-04-13,1326.75,6.585367558040161,1331.5425480856263,-0.006491041294735137
2021-04-14,1339.36,5.752344852805663,1330.6711757064215,0.009459545203741869
2021-04-15,1343.89,6.040063874598445,1332.2509619416176,0.0033765055837491763
2021-04-16,1347.95,6.5580196452385735,1334.3671506795054,0.003016526300701503
2021-04-19,1333.4,7.212964825708923,1336.836759646868,-0.010852848612237325
2021-04-20,1303.7,6.48321572407508,1336.2118942565282,-0.022525695515226565
2021-04-21,1332.27,3.468361405426549,1330.3006407553412,0.021677878592887043
2021-04-22,1325.84,3.3458588890443934,1330.658706072552,-0.004838033446331703
2021-04-23,1350.06,2.6988172150809078,1329.782577695724,0.018102815074006108
2021-04-26,1357.2,4.093199752971714,1333.469381751047,0.0052747180207806926
2021-04-27,1360.89,5.708591202852176,1337.784039614493,0.002715143550722044
