date,price,EMA_10,MACD,Log_Return
2021-02-09,734.33,732.5550207832526,0.27863823312361546,0.0015127255789189492
2021-02-10,731.28,732.3231988226612,0.1426636298590438,-0.0041620955137286015
2021-02-11,737.62,733.2862535821773,0.5402600104368958,0.008632363496678746
2021-02-12,739.48,734.4123892945087,0.9939864053576457,0.002518449642002662
2021-02-17,746.92,736.6865003318708,1.9316468412031327,0.010010847866634436
2021-02-18,744.15,738.0435002715305,2.4232993554272753,-0.003715456935711579
2021-02-19,748.14,739.8792274948886,3.099171845427122,0.00534749882138218
2021-02-22,753.96,742.4393679503634,4.057656880664354,0.007749189966306275
2021-02-23,758.04,745.2758465048428,5.087835676013469,0.005396838495753241
2021-02-24,752.82,746.6475107766895,5.420564525064719,-0.00690999929894587
2021-02-25,752.49,747.7097815445641,5.593151919334787,-0.0004384479014774618
2021-02-26,745.64,747.3334576273705,5.118191593827532,-0.00914479749714116
2021-03-01,744.97,746.9037380587578,4.634297417503262,-0.000898960888657139
2021-03-02,746.4,746.8121493208018,4.316439616479897,0.0019177004207464262
2021-03-03,743.56,746.2208494442923,3.7916628251770135,-0.0038121874941908214
2021-03-04,744.49,745.90614954533,3.411491118883646,0.0012499581614672662
2021-03-05,743.8,745.5232132643608,3.0197156667290983,-0.0009272387094409224
2021-03-08,748.58,746.0789926708406,3.0596669145655824,0.006405897084929187
2021-03-09,747.54,746.3446303670513,2.9731367877757293,-0.0013902630370720313
2021-03-10,748.03,746.6510612094056,2.910548947267671,0.000655268583259657
2021-03-11,747.0,746.7145046258772,2.7461789987526117,-0.0013778989892693151
2021-03-12,747.0,746.7664128757176,2.586103637394558,0.0
2021-03-15,749.21,747.2107014437689,2.6075134980128496,0.0029541329187801942
2021-03-16,756.76,748.9469375449019,3.196851554075465,0.01002684416662099
2021-03-17,758.92,750.760221627647,3.794459984847208,0.0028502077777141895
2021-03-18,760.35,752.5038176953475,4.333504083202911,0.0018824835905352317
2021-03-19,757.93,753.4903962961935,4.513398985524759,-0.003187820493422294
2021-03-22,758.49,754.399415151431,4.647579903463338,0.0007385816930097013
2021-03-23,739.09,751.615885123898,3.152165182150611,-0.025909915055626193
2021-03-24,737.22,748.9984514650075,1.7954480622372557,-0.002533344622894271
2021-03-25,746.14,748.4787330168242,1.423599058746845,0.012026895049193987
2021-03-26,751.83,749.0880542864926,1.5699441522089046,0.007596984407044536
2021-03-29,757.1,750.5447716889485,2.087109747916088,0.006985110545487622
2021-03-30,755.33,751.4148132000487,2.3273151605309295,-0.002340605261822014
2021-03-31,754.4,751.9575744364034,2.4148001400949397,-0.0012320085281911665
2021-04-01,748.84,751.3907427206937,2.0122906495527104,-0.007397388779179989
2021-04-02,744.43,750.125153135113,1.3222072521244854,-0.005906517670544661
2021-04-05,751.95,750.4569434741834,1.3663617726336952,0.010051007508099265
2021-04-06,742.26,748.9665901152409,0.6123932428602075,-0.012970246274826921
2021-04-07,744.44,748.1435737306516,0.18860145180860854,0.0029326717729677124
2021-04-08,746.28,747.8047421432605,0.001202168770305434,0.0024686070280352137
2021-04-09,751.24,748.4293344808494,0.2500351844095121,0.006624309708938594
2021-04-12,756.13,749.8294554843313,0.8322258925667256,0.006488144455728084
2021-04-13,758.87,751.4731908508165,1.4974496565921527,0.00361716566004876
2021-04-14,752.56,751.6707925143044,1.4982095895854854,-0.008349757064817743
2021-04-15,750.72,751.4979211480671,1.334950738345583,-0.0024479816386398902
2021-04-16,761.7,753.3528445756913,2.0677257040312043,0.014520031353686484
2021-04-19,768.6,756.1250546528382,3.168700669123723,0.009017900752001054
2021-04-20,768.42,758.3604992614131,3.980818369191752,-0.00023421946470822202
2021-04-21,776.87,761.7258630320653,5.245801543100583,0.010936567536394576
2021-04-22,777.13,764.5266152080533,6.197844752936703,0.00033462033774265296
2021-04-23,769.62,765.4526851702253,6.274028524142295,-0.009710760000358155
2021-04-26,770.34,766.3412878665479,6.3196536608517135,0.0009350892912328892
2021-04-27,770.28,767.0574173453574,6.278594680657079,-7.789071936027934e-05
2021-04-28,770.56,767.6942505552925,6.1972112097847685,0.00036343812865973467
2021-04-29,757.31,765.8062049997848,5.005845684630913,-0.017344842401202924
2021-05-05,756.92,764.1905313634602,3.984281860825149,-0.0005151133032941999
2021-05-06,755.89,762.681343842831,3.056341179942251,-0.0013617045883561173
2021-05-07,755.92,761.4520085986799,2.296885191444858,3.968752687703367e-05
2021-05-10,755.32,760.3370979443745,1.6278312381613205,-0.0007940499609932141
2021-05-11,755.94,759.5376255908518,1.134551574042689,0.0008205074372162193
2021-05-12,762.24,760.0289663925151,1.2377136426216566,0.008299458776287108
2021-05-13,758.45,759.741881593876,1.0020974440141117,-0.004984589689199169
2021-05-14,759.38,759.6760849404438,0.8802659785067135,0.0012254338316949876
2021-05-17,759.6,759.6622513149085,0.7923323120434134,0.00028966806875439625
2021-05-18,757.23,759.2200238031069,0.5253491566998036,-0.00312494073645359
2021-05-19,764.61,760.2000194752692,0.8989053836335188,0.009698861709087861
2021-05-20,776.55,763.1727432070384,2.133812337685413,0.015495132105254885
2021-05-21,776.09,765.5213353512132,3.040319924618643,-0.0005925391764463724
2021-05-24,782.83,768.6683652873563,4.2535629636731755,0.008647065913256225
2021-05-25,779.24,770.5904806896551,4.869254085853413,-0.004596473039826436
2021-05-26,778.16,771.9667569278996,5.209989248976399,-0.001386927151818492
2021-05-27,778.88,773.223710213736,5.47500979844358,0.0009248317979228992
