Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,333.94000244140625,339.8699951171875,333.94000244140625,339.6400146484375,339.6400146484375,0
2010-01-05,339.4700012207031,340.1099853515625,337.05999755859375,338.4800109863281,338.4800109863281,0
2010-01-06,338.2200012207031,339.7900085449219,337.1000061035156,338.1499938964844,338.1499938964844,0
2010-01-07,338.2799987792969,340.44000244140625,335.29998779296875,340.3900146484375,340.3900146484375,0
2010-01-08,339.55999755859375,341.5899963378906,339.07000732421875,341.4700012207031,341.4700012207031,0
2010-01-11,342.739990234375,343.20001220703125,339.4599914550781,340.989990234375,340.989990234375,0
2010-01-12,338.9599914550781,339.5899963378906,336.010009765625,337.1199951171875,337.1199951171875,0
2010-01-13,337.94000244140625,341.5,336.0799865722656,340.989990234375,340.989990234375,0
2010-01-14,340.9800109863281,343.3900146484375,340.25,342.55999755859375,342.55999755859375,0
2010-01-15,343.0400085449219,343.2900085449219,335.7799987792969,338.5400085449219,338.5400085449219,0
2010-01-19,338.510009765625,343.989990234375,338.510009765625,343.989990234375,343.989990234375,0
2010-01-20,342.32000732421875,342.32000732421875,335.57000732421875,338.9800109863281,338.9800109863281,0
2010-01-21,339.29998779296875,341.17999267578125,333.7099914550781,334.7099914550781,334.7099914550781,0
2010-01-22,334.20001220703125,335.8800048828125,328.2099914550781,329.04998779296875,329.04998779296875,0
2010-01-25,329.8999938964844,331.19000244140625,327.4200134277344,329.5199890136719,329.5199890136719,0
2010-01-26,328.739990234375,330.3999938964844,326.57000732421875,326.7699890136719,326.7699890136719,0
2010-01-27,325.57000732421875,330.3500061035156,324.4599914550781,330.1700134277344,330.1700134277344,0
2010-01-28,330.7200012207031,330.8999938964844,321.79998779296875,324.20001220703125,324.20001220703125,0
2010-01-29,325.3500061035156,328.3599853515625,320.6199951171875,321.1400146484375,321.1400146484375,0
2010-02-01,321.239990234375,324.3999938964844,321.1400146484375,324.3599853515625,324.3599853515625,0
2010-02-02,324.4800109863281,327.510009765625,323.2799987792969,326.760009765625,326.760009765625,0
2010-02-03,325.55999755859375,327.0899963378906,322.0799865722656,324.3399963378906,324.3399963378906,0
2010-02-04,324.3399963378906,324.3399963378906,314.0799865722656,314.0799865722656,314.0799865722656,0
2010-02-05,314.1099853515625,315.3500061035156,309.1600036621094,315.3299865722656,315.3299865722656,0
2010-02-08,315.260009765625,315.9700012207031,311.8800048828125,311.95001220703125,311.95001220703125,0
2010-02-09,314.6099853515625,317.4200134277344,312.6099853515625,316.1199951171875,316.1199951171875,0
2010-02-10,315.2900085449219,317.42999267578125,312.3299865722656,316.8900146484375,316.8900146484375,0
2010-02-11,316.1400146484375,321.4700012207031,313.760009765625,321.4700012207031,321.4700012207031,0
2010-02-12,319.1600036621094,324.04998779296875,317.6099853515625,324.04998779296875,324.04998779296875,0
2010-02-16,325.57000732421875,328.9700012207031,324.2900085449219,328.9700012207031,328.9700012207031,0
2010-02-17,329.739990234375,331.2300109863281,328.6499938964844,331.010009765625,331.010009765625,0
2010-02-18,330.489990234375,333.9200134277344,330.45001220703125,333.9200134277344,333.9200134277344,0
2010-02-19,333.3800048828125,336.07000732421875,332.6300048828125,335.57000732421875,335.57000732421875,0
2010-02-22,336.30999755859375,336.79998779296875,335.1000061035156,336.1000061035156,336.1000061035156,0
2010-02-23,335.70001220703125,335.7300109863281,331.75,332.7900085449219,332.7900085449219,0
2010-02-24,333.2799987792969,336.9800109863281,333.2300109863281,336.0299987792969,336.0299987792969,0
2010-02-25,333.2200012207031,335.6499938964844,330.6300048828125,335.6499938964844,335.6499938964844,0
2010-02-26,336.0400085449219,336.0400085449219,332.95001220703125,334.70001220703125,334.70001220703125,0
2010-03-01,335.70001220703125,341.5899963378906,335.70001220703125,341.5299987792969,341.5299987792969,0
2010-03-02,341.8900146484375,345.2799987792969,341.82000732421875,344.3900146484375,344.3900146484375,0
2010-03-03,345.1400146484375,347.3599853515625,344.05999755859375,344.7900085449219,344.7900085449219,0
2010-03-04,345.29998779296875,346.42999267578125,344.3699951171875,346.32000732421875,346.32000732421875,0
2010-03-05,347.260009765625,352.8800048828125,347.260009765625,352.8800048828125,352.8800048828125,0
2010-03-08,352.82000732421875,354.2300109863281,352.5799865722656,353.8599853515625,353.8599853515625,0
2010-03-09,352.92999267578125,357.2099914550781,352.760009765625,355.4800109863281,355.4800109863281,0
2010-03-10,355.44000244140625,359.2200012207031,355.1000061035156,357.7900085449219,357.7900085449219,0
2010-03-11,356.1300048828125,358.8699951171875,354.80999755859375,358.8699951171875,358.8699951171875,0
2010-03-12,359.6700134277344,359.6700134277344,356.3399963378906,358.92999267578125,358.92999267578125,0
2010-03-15,358.25,358.7099914550781,355.5899963378906,358.1600036621094,358.1600036621094,0
